id,102,103,100,101,110,108,109,106,107,104,105
102,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.817,1.0
103,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
110,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.928
108,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.533,1.0,1.0,0.92
109,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
106,1.0,1.0,1.0,1.0,0.5,0.533,1.0,0.0,1.0,1.0,1.0
107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
104,0.817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
105,1.0,1.0,1.0,1.0,0.928,0.92,1.0,1.0,1.0,1.0,0.0
