id,102,103,100,101,110,108,109,106,107,104,105
102,0.0,0.61,0.0,0.52,0.24,0.07,0.54,0.15,0.4,1.09,0.23
103,0.61,0.0,0.0,0.7,0.6,0.31,0.73,0.27,0.57,0.52,0.36
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.52,0.7,0.0,0.0,0.87,0.49,0.56,0.25,0.57,0.44,0.47
110,0.24,0.6,0.0,0.87,0.0,0.66,0.68,0.27,0.54,0.37,0.81
108,0.07,0.31,0.0,0.49,0.66,0.0,0.72,0.29,0.18,0.17,0.69
109,0.54,0.73,0.0,0.56,0.68,0.72,0.0,0.25,0.91,0.68,0.53
106,0.15,0.27,0.0,0.25,0.27,0.29,0.25,0.0,0.17,0.16,0.28
107,0.4,0.57,0.0,0.57,0.54,0.18,0.91,0.17,0.0,0.56,0.42
104,1.09,0.52,0.0,0.44,0.37,0.17,0.68,0.16,0.56,0.0,0.23
105,0.23,0.36,0.0,0.47,0.81,0.69,0.53,0.28,0.42,0.23,0.0
