gene_id	score	importantDiseases
MTG15	0.94306	109
MTG21	0.92698	109
MTG22	0.90133	109
MTG23	0.90133	109
MTG14	0.25629	103
MTG4	0.25629	103
MTG8	0.25629	103
MTG3	0.24009	102
MTG18	0.22354	106
MTG24	0.18868	108
MTG5	0.18868	103
MTG6	0.18868	103
MTG7	0.18868	103
MTG17	0.18792	105
MTG12	0.17101	102
MTG20	0.13531	106
MTG16	0.1059	105
MTG19	0.1059	105
MTG10	0.09564	102
MTG25	0.09564	107
MTG9	0.09564	102
MTG1	0.08727	101
MTG11	0.08727	104
MTG13	0.08727	104
MTG2	0.08727	101
MTG26	0.00429	110	
MTG27	0.00429	110	
MTG28	0.00429	110	
MTG29	0.00429	110	
MTG30	0.00429	110	
MTG31	0.00429	110	
MTG32	0.00429	110	
MTG33	0.00429	110	
MTG34	0.00429	110	
MTG35	0.00429	110	
MTG36	0.00429	110	
MTG37	0.00429	110	
MTG38	0.00429	110	
MTG39	0.00429	110	
MTG40	0.00429	110	
MTG41	0.00429	110	
MTG42	0.00429	110	
MTG43	0.00429	110	
MTG44	0.00429	110	
MTG45	0.00429	110	
MTG46	0.00429	110	
MTG47	0.00429	110	
MTG48	0.00429	110	
MTG49	0.00429	110	
MTG50	0.00429	110	
