gene_id	score	importantDiseases
MTG1	0.03571	110,100
MTG10	0.03571	110,100
MTG11	0.03571	110,100
MTG12	0.03571	110,100
MTG13	0.03571	110,100
MTG14	0.03571	110,100
MTG15	0.03571	110,100
MTG16	0.03571	110,100
MTG17	0.03571	110,100
MTG18	0.03571	110,100
MTG19	0.03571	110,100
MTG2	0.03571	110,100
MTG20	0.03571	110,100
MTG21	0.03571	110,100
MTG22	0.03571	110,100
MTG23	0.03571	110,100
MTG24	0.03571	110,100
MTG25	0.03571	110,100
MTG26	0.03571	110,100
MTG27	0.03571	110,100
MTG28	0.03571	110,100
MTG29	0.03571	110,100
MTG3	0.03571	110,100
MTG30	0.03571	110,100
MTG31	0.03571	110,100
MTG32	0.03571	110,100
MTG33	0.03571	110,100
MTG34	0.03571	110,100
MTG35	0.03571	110,100
MTG36	0.03571	110,100
MTG37	0.03571	110,100
MTG38	0.03571	110,100
MTG39	0.03571	110,100
MTG4	0.03571	110,100
MTG40	0.03571	110,100
MTG41	0.03571	110,100
MTG42	0.03571	110,100
MTG43	0.03571	110,100
MTG44	0.03571	110,100
MTG45	0.03571	110,100
MTG46	0.03571	110,100
MTG47	0.03571	110,100
MTG48	0.03571	110,100
MTG49	0.03571	110,100
MTG5	0.03571	110,100
MTG50	0.03571	110,100
MTG6	0.03571	110,100
MTG7	0.03571	110,100
MTG8	0.03571	110,100
MTG9	0.03571	110,100
