gene_id	score	importantDiseases
MTG10	0.08333	102
MTG12	0.08333	102
MTG15	0.08333	105,107,109
MTG16	0.08333	105
MTG17	0.08333	105,107
MTG18	0.08333	105
MTG19	0.08333	105
MTG21	0.08333	107,109
MTG22	0.08333	109
MTG23	0.08333	109
MTG25	0.08333	107
MTG3	0.08333	102
MTG9	0.08333	102
MTG1	0.0	
MTG11	0.0	
MTG13	0.0	
MTG14	0.0	
MTG2	0.0	
MTG20	0.0	
MTG24	0.0	
MTG26	0.0	
MTG27	0.0	
MTG28	0.0	
MTG29	0.0	
MTG30	0.0	
MTG31	0.0	
MTG32	0.0	
MTG33	0.0	
MTG34	0.0	
MTG35	0.0	
MTG36	0.0	
MTG37	0.0	
MTG38	0.0	
MTG39	0.0	
MTG4	0.0	
MTG40	0.0	
MTG41	0.0	
MTG42	0.0	
MTG43	0.0	
MTG44	0.0	
MTG45	0.0	
MTG46	0.0	
MTG47	0.0	
MTG48	0.0	
MTG49	0.0	
MTG5	0.0	
MTG50	0.0	
MTG6	0.0	
MTG7	0.0	
MTG8	0.0	
