gene_id	score	importantDiseases
MTG1	0.9009	101
MTG14	0.9009	101
MTG2	0.9009	101
MTG3	0.9009	101
MTG4	0.9009	101
MTG10	0.81967	102
MTG12	0.81967	102
MTG5	0.81967	103
MTG6	0.81967	103
MTG7	0.81967	103
MTG8	0.81967	103
MTG9	0.81967	102
MTG11	0.75188	104
MTG13	0.75188	104
MTG15	0.75188	105
MTG16	0.75188	105
MTG17	0.75188	105
MTG18	0.75188	105
MTG19	0.75188	105
MTG20	0.69444	106
MTG21	0.69444	107
MTG25	0.69444	107
MTG22	0.64516	109
MTG23	0.64516	109
MTG24	0.64516	108
MTG26	0.01802	100
MTG27	0.01802	100
MTG28	0.01802	100
MTG29	0.01802	100
MTG30	0.01802	100
MTG31	0.01802	100
MTG32	0.01802	100
MTG33	0.01802	100
MTG34	0.01802	100
MTG35	0.01802	100
MTG36	0.01802	100
MTG37	0.01802	100
MTG38	0.01802	100
MTG39	0.01802	100
MTG40	0.01802	100
MTG41	0.01802	100
MTG42	0.01802	100
MTG43	0.01802	100
MTG44	0.01802	100
MTG45	0.01802	100
MTG46	0.01802	100
MTG47	0.01802	100
MTG48	0.01802	100
MTG49	0.01802	100
MTG50	0.01802	100
