gene_id	score	importantDiseases
MTG15	1.0	109
MTG21	1.0	109
MTG22	1.0	109
MTG23	1.0	109
MTG24	0.47619	108
MTG14	0.39152	103
MTG4	0.39152	103
MTG8	0.38265	103
MTG18	0.37468	106
MTG5	0.3125	103
MTG6	0.3125	103
MTG7	0.3125	103
MTG17	0.31054	105
MTG3	0.30983	102
MTG20	0.23256	106
MTG12	0.22019	102
MTG16	0.18519	105
MTG19	0.18519	105
MTG25	0.15385	107
MTG10	0.13158	102
MTG9	0.13158	102
MTG1	0.11494	101
MTG2	0.11494	101
MTG11	0.10204	104
MTG13	0.10204	104
MTG26	0.0	
MTG27	0.0	
MTG28	0.0	
MTG29	0.0	
MTG30	0.0	
MTG31	0.0	
MTG32	0.0	
MTG33	0.0	
MTG34	0.0	
MTG35	0.0	
MTG36	0.0	
MTG37	0.0	
MTG38	0.0	
MTG39	0.0	
MTG40	0.0	
MTG41	0.0	
MTG42	0.0	
MTG43	0.0	
MTG44	0.0	
MTG45	0.0	
MTG46	0.0	
MTG47	0.0	
MTG48	0.0	
MTG49	0.0	
MTG50	0.0	
