gene_id	score	importantDiseases
MTG10	1.0	102
MTG12	1.0	102
MTG14	1.0	103
MTG15	1.0	105,109
MTG16	1.0	105
MTG17	1.0	105
MTG18	1.0	105
MTG19	1.0	105
MTG21	1.0	109
MTG22	1.0	109
MTG23	1.0	109
MTG3	1.0	102
MTG4	1.0	103
MTG5	1.0	103
MTG6	1.0	103
MTG7	1.0	103
MTG8	1.0	103
MTG9	1.0	102
MTG1	0.02	110
MTG11	0.02	110
MTG13	0.02	110
MTG2	0.02	110
MTG20	0.02	110
MTG24	0.02	110
MTG25	0.02	110
MTG26	0.02	110
MTG27	0.02	110
MTG28	0.02	110
MTG29	0.02	110
MTG30	0.02	110
MTG31	0.02	110
MTG32	0.02	110
MTG33	0.02	110
MTG34	0.02	110
MTG35	0.02	110
MTG36	0.02	110
MTG37	0.02	110
MTG38	0.02	110
MTG39	0.02	110
MTG40	0.02	110
MTG41	0.02	110
MTG42	0.02	110
MTG43	0.02	110
MTG44	0.02	110
MTG45	0.02	110
MTG46	0.02	110
MTG47	0.02	110
MTG48	0.02	110
MTG49	0.02	110
MTG50	0.02	110
