gene_id	score	importantDiseases
MTG14	0.64516	103
MTG15	0.64516	109,108,106
MTG18	0.64516	106
MTG20	0.64516	106
MTG21	0.64516	109,108
MTG22	0.64516	109
MTG23	0.64516	109
MTG24	0.64516	108
MTG4	0.64516	103
MTG5	0.64516	103
MTG6	0.64516	103
MTG7	0.64516	103
MTG8	0.64516	103
MTG16	0.15385	105
MTG17	0.15385	105
MTG19	0.15385	105
MTG1	0.08333	101
MTG10	0.08333	102
MTG11	0.08333	104
MTG12	0.08333	102,104
MTG13	0.08333	104
MTG2	0.08333	101
MTG25	0.08333	107
MTG3	0.08333	101,102,104
MTG9	0.08333	102
MTG26	0.00308	110
MTG27	0.00308	110
MTG28	0.00308	110
MTG29	0.00308	110
MTG30	0.00308	110
MTG31	0.00308	110
MTG32	0.00308	110
MTG33	0.00308	110
MTG34	0.00308	110
MTG35	0.00308	110
MTG36	0.00308	110
MTG37	0.00308	110
MTG38	0.00308	110
MTG39	0.00308	110
MTG40	0.00308	110
MTG41	0.00308	110
MTG42	0.00308	110
MTG43	0.00308	110
MTG44	0.00308	110
MTG45	0.00308	110
MTG46	0.00308	110
MTG47	0.00308	110
MTG48	0.00308	110
MTG49	0.00308	110
MTG50	0.00308	110
