gene_id	score	importantDiseases
MTG10	0.98912	102
MTG12	0.98912	102
MTG14	0.98912	103
MTG15	0.98912	105,109
MTG16	0.98912	105
MTG17	0.98912	105
MTG18	0.98912	105
MTG19	0.98912	105
MTG21	0.98912	109
MTG22	0.98912	109
MTG23	0.98912	109
MTG3	0.98912	102
MTG4	0.98912	103
MTG5	0.98912	103
MTG6	0.98912	103
MTG7	0.98912	103
MTG8	0.98912	103
MTG9	0.98912	102
MTG1	0.01978	110
MTG11	0.01978	110
MTG13	0.01978	110
MTG2	0.01978	110
MTG20	0.01978	110
MTG24	0.01978	110
MTG25	0.01978	110
MTG26	0.01978	110
MTG27	0.01978	110
MTG28	0.01978	110
MTG29	0.01978	110
MTG30	0.01978	110
MTG31	0.01978	110
MTG32	0.01978	110
MTG33	0.01978	110
MTG34	0.01978	110
MTG35	0.01978	110
MTG36	0.01978	110
MTG37	0.01978	110
MTG38	0.01978	110
MTG39	0.01978	110
MTG40	0.01978	110
MTG41	0.01978	110
MTG42	0.01978	110
MTG43	0.01978	110
MTG44	0.01978	110
MTG45	0.01978	110
MTG46	0.01978	110
MTG47	0.01978	110
MTG48	0.01978	110
MTG49	0.01978	110
MTG50	0.01978	110
