id	100	101	102	103	104	105	106	107	108	109	110
100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101	0.0	1.406	0.518	0.7	0.438	0.471	0.252	0.567	0.488	0.555	0.869
102	0.0	0.518	1.705	0.606	1.091	0.228	0.15	0.397	0.071	0.54	0.236
103	0.0	0.7	0.606	0.888	0.522	0.357	0.274	0.572	0.313	0.726	0.597
104	0.0	0.438	1.091	0.522	1.028	0.227	0.158	0.558	0.167	0.683	0.368
105	0.0	0.471	0.228	0.357	0.227	1.243	0.284	0.418	0.69	0.531	0.807
106	0.0	0.252	0.15	0.274	0.158	0.284	0.284	0.166	0.288	0.246	0.274
107	0.0	0.567	0.397	0.572	0.558	0.418	0.166	1.447	0.18	0.91	0.536
108	0.0	0.488	0.071	0.313	0.167	0.69	0.288	0.18	1.502	0.718	0.658
109	0.0	0.555	0.54	0.726	0.683	0.531	0.246	0.91	0.718	1.332	0.681
110	0.0	0.869	0.236	0.597	0.368	0.807	0.274	0.536	0.658	0.681	1.329
