id	100	101	102	103	104	105	106	107	108	109	110
100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101	0.0	1.406	0.52	0.7	0.44	0.47	0.25	0.57	0.49	0.56	0.87
102	0.0	0.52	1.705	0.61	1.09	0.23	0.15	0.4	0.07	0.54	0.24
103	0.0	0.7	0.61	0.888	0.52	0.36	0.27	0.57	0.31	0.73	0.6
104	0.0	0.44	1.09	0.52	1.028	0.23	0.16	0.56	0.17	0.68	0.37
105	0.0	0.47	0.23	0.36	0.23	1.243	0.28	0.42	0.69	0.53	0.81
106	0.0	0.25	0.15	0.27	0.16	0.28	0.284	0.17	0.29	0.25	0.27
107	0.0	0.57	0.4	0.57	0.56	0.42	0.17	1.447	0.18	0.91	0.54
108	0.0	0.49	0.07	0.31	0.17	0.69	0.29	0.18	1.502	0.72	0.66
109	0.0	0.56	0.54	0.73	0.68	0.53	0.25	0.91	0.72	1.332	0.68
110	0.0	0.87	0.24	0.6	0.37	0.81	0.27	0.54	0.66	0.68	1.329
