gene_id	gene_score	contribution
MTG26	0.97279	M10
MTG27	0.97279	M10
MTG28	0.97279	M10
MTG30	0.8821	M10
MTG29	0.7914	M09
MTG15	0.65134	M08
MTG19	0.33588	M05,M04
MTG25	0.33588	M05,M04
MTG22	0.27362	M04
MTG24	0.27362	M04
MTG16	0.2252	M06
MTG17	0.2252	M06
MTG18	0.2252	M05
MTG20	0.15256	M01
MTG21	0.15256	M02
MTG23	0.15256	M03
MTG1	0.09607	M15,M14,M13...
MTG10	0.09607	M15,M14,M13...
MTG11	0.09607	M15,M14,M13...
MTG12	0.09607	M15,M14,M13...
MTG13	0.09607	M15,M14,M13...
MTG14	0.09607	M15,M14,M13...
MTG2	0.09607	M15,M14,M13...
MTG3	0.09607	M15,M14,M13...
MTG31	0.09607	M15,M14,M13...
MTG32	0.09607	M15,M14,M13...
MTG33	0.09607	M15,M14,M13...
MTG34	0.09607	M15,M14,M13...
MTG35	0.09607	M15,M14,M13...
MTG36	0.09607	M15,M14,M13...
MTG37	0.09607	M15,M14,M13...
MTG38	0.09607	M15,M14,M13...
MTG39	0.09607	M15,M14,M13...
MTG4	0.09607	M15,M14,M13...
MTG40	0.09607	M15,M14,M13...
MTG41	0.09607	M15,M14,M13...
MTG42	0.09607	M15,M14,M13...
MTG43	0.09607	M15,M14,M13...
MTG44	0.09607	M15,M14,M13...
MTG45	0.09607	M15,M14,M13...
MTG46	0.09607	M15,M14,M13...
MTG47	0.09607	M15,M14,M13...
MTG48	0.09607	M15,M14,M13...
MTG49	0.09607	M15,M14,M13...
MTG5	0.09607	M15,M14,M13...
MTG50	0.09607	M15,M14,M13...
MTG6	0.09607	M15,M14,M13...
MTG7	0.09607	M15,M14,M13...
MTG8	0.09607	M15,M14,M13...
MTG9	0.09607	M15,M14,M13...
