gene_id	gene_score	contribution
MTG26	0.98814	M10
MTG27	0.98814	M10
MTG28	0.98814	M10
MTG30	0.98814	M10
MTG18	0.86957	M05
MTG19	0.86957	M05
MTG25	0.86957	M05
MTG22	0.76923	M04
MTG24	0.76923	M04
MTG15	0.68966	M06
MTG16	0.68966	M06
MTG17	0.68966	M06
MTG21	0.625	M02
MTG20	0.57143	M01
MTG23	0.42553	M03
MTG29	0.37736	M09
MTG1	0.02	M14
MTG10	0.02	M14
MTG11	0.02	M14
MTG12	0.02	M14
MTG13	0.02	M14
MTG14	0.02	M14
MTG2	0.02	M14
MTG3	0.02	M14
MTG31	0.02	M14
MTG32	0.02	M14
MTG33	0.02	M14
MTG34	0.02	M14
MTG35	0.02	M14
MTG36	0.02	M14
MTG37	0.02	M14
MTG38	0.02	M14
MTG39	0.02	M14
MTG4	0.02	M14
MTG40	0.02	M14
MTG41	0.02	M14
MTG42	0.02	M14
MTG43	0.02	M14
MTG44	0.02	M14
MTG45	0.02	M14
MTG46	0.02	M14
MTG47	0.02	M14
MTG48	0.02	M14
MTG49	0.02	M14
MTG5	0.02	M14
MTG50	0.02	M14
MTG6	0.02	M14
MTG7	0.02	M14
MTG8	0.02	M14
MTG9	0.02	M14
