gene_id	gene_score	contribution
MTG26	0.86957	M10
MTG27	0.86957	M10
MTG28	0.86957	M10
MTG30	0.86957	M10
MTG29	0.76923	M09
MTG15	0.4	M08
MTG16	0.14286	M06
MTG17	0.14286	M06
MTG18	0.14286	M05
MTG19	0.14286	M05,M04
MTG22	0.14286	M04
MTG24	0.14286	M04
MTG25	0.14286	M05,M04
MTG20	0.0625	M01
MTG21	0.0625	M02
MTG23	0.0625	M03
MTG1	0.02	M15,M14,M13...
MTG10	0.02	M15,M14,M13...
MTG11	0.02	M15,M14,M13...
MTG12	0.02	M15,M14,M13...
MTG13	0.02	M15,M14,M13...
MTG14	0.02	M15,M14,M13...
MTG2	0.02	M15,M14,M13...
MTG3	0.02	M15,M14,M13...
MTG31	0.02	M15,M14,M13...
MTG32	0.02	M15,M14,M13...
MTG33	0.02	M15,M14,M13...
MTG34	0.02	M15,M14,M13...
MTG35	0.02	M15,M14,M13...
MTG36	0.02	M15,M14,M13...
MTG37	0.02	M15,M14,M13...
MTG38	0.02	M15,M14,M13...
MTG39	0.02	M15,M14,M13...
MTG4	0.02	M15,M14,M13...
MTG40	0.02	M15,M14,M13...
MTG41	0.02	M15,M14,M13...
MTG42	0.02	M15,M14,M13...
MTG43	0.02	M15,M14,M13...
MTG44	0.02	M15,M14,M13...
MTG45	0.02	M15,M14,M13...
MTG46	0.02	M15,M14,M13...
MTG47	0.02	M15,M14,M13...
MTG48	0.02	M15,M14,M13...
MTG49	0.02	M15,M14,M13...
MTG5	0.02	M15,M14,M13...
MTG50	0.02	M15,M14,M13...
MTG6	0.02	M15,M14,M13...
MTG7	0.02	M15,M14,M13...
MTG8	0.02	M15,M14,M13...
MTG9	0.02	M15,M14,M13...
