gene_id	gene_score	contribution
MTG19	0.99985	M04
MTG22	0.99985	M04
MTG24	0.99985	M04
MTG25	0.99985	M04
MTG23	0.86957	M03
MTG21	0.57143	M02
MTG20	0.4	M01
MTG15	0.30769	M08
MTG16	0.21053	M06
MTG17	0.21053	M06
MTG18	0.18182	M05
MTG26	0.16	M10
MTG27	0.16	M10
MTG28	0.16	M10
MTG30	0.16	M10
MTG29	0.14286	M09
MTG1	0.00258	M11
MTG10	0.00258	M11
MTG11	0.00258	M11
MTG12	0.00258	M11
MTG13	0.00258	M11
MTG14	0.00258	M11
MTG2	0.00258	M11
MTG3	0.00258	M11
MTG31	0.00258	M11
MTG32	0.00258	M11
MTG33	0.00258	M11
MTG34	0.00258	M11
MTG35	0.00258	M11
MTG36	0.00258	M11
MTG37	0.00258	M11
MTG38	0.00258	M11
MTG39	0.00258	M11
MTG4	0.00258	M11
MTG40	0.00258	M11
MTG41	0.00258	M11
MTG42	0.00258	M11
MTG43	0.00258	M11
MTG44	0.00258	M11
MTG45	0.00258	M11
MTG46	0.00258	M11
MTG47	0.00258	M11
MTG48	0.00258	M11
MTG49	0.00258	M11
MTG5	0.00258	M11
MTG50	0.00258	M11
MTG6	0.00258	M11
MTG7	0.00258	M11
MTG8	0.00258	M11
MTG9	0.00258	M11
