gene_id	gene_score	contribution
MTG26	0.78604	M09
MTG27	0.78604	M09
MTG28	0.78604	M09
MTG15	0.74979	M07
MTG20	0.71441	M01
MTG29	0.57235	M09
MTG30	0.51691	M10
MTG22	0.34437	M03
MTG24	0.34437	M03
MTG23	0.2986	M03
MTG19	0.15384	M04
MTG25	0.15384	M04
MTG16	0.12857	M06
MTG17	0.12857	M06
MTG21	0.11072	M02
MTG18	0.09477	M05
MTG1	0.03442	M13
MTG10	0.03442	M13
MTG11	0.03442	M13
MTG12	0.03442	M13
MTG13	0.03442	M13
MTG14	0.03442	M13
MTG2	0.03442	M13
MTG3	0.03442	M13
MTG31	0.03442	M13
MTG32	0.03442	M13
MTG33	0.03442	M13
MTG34	0.03442	M13
MTG35	0.03442	M13
MTG36	0.03442	M13
MTG37	0.03442	M13
MTG38	0.03442	M13
MTG39	0.03442	M13
MTG4	0.03442	M13
MTG40	0.03442	M13
MTG41	0.03442	M13
MTG42	0.03442	M13
MTG43	0.03442	M13
MTG44	0.03442	M13
MTG45	0.03442	M13
MTG46	0.03442	M13
MTG47	0.03442	M13
MTG48	0.03442	M13
MTG49	0.03442	M13
MTG5	0.03442	M13
MTG50	0.03442	M13
MTG6	0.03442	M13
MTG7	0.03442	M13
MTG8	0.03442	M13
MTG9	0.03442	M13
