gene_id	gene_score	contribution
MTG15	1.0	M07,M06
MTG19	0.99994	M05
MTG25	0.99994	M05
MTG26	0.99987	M09
MTG27	0.99987	M09
MTG28	0.99987	M09
MTG16	0.99986	M06
MTG17	0.99986	M06
MTG18	0.99986	M05
MTG29	0.99986	M09
MTG22	0.65561	M04
MTG24	0.65561	M04
MTG21	0.28879	M02
MTG23	0.1454	M03
MTG30	0.13717	M10
MTG20	0.13547	M01
MTG1	0.076176	M15,M12
MTG10	0.076176	M15,M12
MTG11	0.076176	M15,M12
MTG12	0.076176	M15,M12
MTG13	0.076176	M15,M12
MTG14	0.076176	M15,M12
MTG2	0.076176	M15,M12
MTG3	0.076176	M15,M12
MTG31	0.076176	M15,M12
MTG32	0.076176	M15,M12
MTG33	0.076176	M15,M12
MTG34	0.076176	M15,M12
MTG35	0.076176	M15,M12
MTG36	0.076176	M15,M12
MTG37	0.076176	M15,M12
MTG38	0.076176	M15,M12
MTG39	0.076176	M15,M12
MTG4	0.076176	M15,M12
MTG40	0.076176	M15,M12
MTG41	0.076176	M15,M12
MTG42	0.076176	M15,M12
MTG43	0.076176	M15,M12
MTG44	0.076176	M15,M12
MTG45	0.076176	M15,M12
MTG46	0.076176	M15,M12
MTG47	0.076176	M15,M12
MTG48	0.076176	M15,M12
MTG49	0.076176	M15,M12
MTG5	0.076176	M15,M12
MTG50	0.076176	M15,M12
MTG6	0.076176	M15,M12
MTG7	0.076176	M15,M12
MTG8	0.076176	M15,M12
MTG9	0.076176	M15,M12
