MTG10	6.2592915e-02	0.098
MTG1	5.7088956e-02	0.058
MTG11	5.3514840e-02	0.030
MTG5	5.1183140e-02	0.010
MTG19	5.0000000e-02	0.000
MTG20	5.0000000e-02	0.000
MTG18	4.9996926e-02	0.000
MTG61	4.9996926e-02	0.000
MTG17	4.9941594e-02	-0.001
MTG60	4.9941594e-02	-0.001
MTG2	4.8870762e-02	-0.010
MTG3	4.8870762e-02	-0.010
MTG12	4.8834951e-02	-0.010
MTG13	4.8834951e-02	-0.010
MTG9	4.7589729e-02	-0.021
MTG6	4.7559157e-02	-0.022
MTG4	4.6427224e-02	-0.032
MTG14	4.6251858e-02	-0.034
MTG15	4.6251858e-02	-0.034
MTG16	4.6251858e-02	-0.034
