MTG10	1.1500000e-01	0.362
MTG1	8.7500000e-02	0.243
MTG60	6.3750000e-02	0.106
MTG17	6.1250000e-02	0.088
MTG5	5.6250000e-02	0.051
MTG11	5.4375000e-02	0.036
MTG12	5.0000000e-02	0.000
MTG19	5.0000000e-02	0.000
MTG20	5.0000000e-02	0.000
MTG9	4.7500000e-02	-0.022
MTG13	4.5000000e-02	-0.046
MTG2	4.3750000e-02	-0.058
MTG3	4.3750000e-02	-0.058
MTG61	4.1250000e-02	-0.084
MTG18	3.7500000e-02	-0.125
MTG6	3.7500000e-02	-0.125
MTG4	3.1250000e-02	-0.204
MTG14	2.8125000e-02	-0.250
MTG15	2.8125000e-02	-0.250
MTG16	2.8125000e-02	-0.250
