MTG1	9.0602410e-02	0.300
MTG10	9.0042477e-02	0.297
MTG9	6.4363893e-02	0.151
MTG11	6.3584068e-02	0.146
MTG12	6.0189188e-02	0.122
MTG8	6.0000000e-02	0.121
MTG17	5.8801807e-02	0.112
MTG5	5.2530120e-02	0.063
MTG20	5.1111111e-02	0.051
MTG19	4.8888889e-02	0.032
MTG2	4.8296041e-02	0.026
MTG3	4.5438898e-02	0.000
MTG7	4.0000000e-02	-0.056
MTG6	3.3012048e-02	-0.139
MTG13	3.1944291e-02	-0.153
MTG4	3.0120482e-02	-0.179
MTG60	2.8689250e-02	-0.200
MTG18	2.8493103e-02	-0.203
MTG14	2.1004248e-02	-0.335
MTG16	2.1004248e-02	-0.335
MTG15	1.7004248e-02	-0.427
MTG61	1.4879181e-02	-0.485
