MTG10	8.8541040e-02	0.248
MTG1	7.9272727e-02	0.200
MTG60	6.0067048e-02	0.080
MTG11	5.9565021e-02	0.076
MTG9	5.9048264e-02	0.072
MTG17	5.8225711e-02	0.066
MTG12	5.4313752e-02	0.036
MTG5	5.4181818e-02	0.035
MTG19	5.0000000e-02	0.000
MTG20	5.0000000e-02	0.000
MTG13	4.8976617e-02	-0.009
MTG2	4.6545455e-02	-0.031
MTG3	4.6545455e-02	-0.031
MTG61	4.1752042e-02	-0.078
MTG6	3.8545455e-02	-0.113
MTG18	3.7909061e-02	-0.120
MTG4	3.4909091e-02	-0.156
MTG14	3.0533815e-02	-0.214
MTG15	3.0533815e-02	-0.214
MTG16	3.0533815e-02	-0.214
