MTG9	8.8448000e-02	0.289
MTG1	8.0000000e-02	0.246
MTG10	7.4112000e-02	0.212
MTG12	6.8032000e-02	0.175
MTG8	6.0000000e-02	0.121
MTG20	5.6800000e-02	0.097
MTG11	5.5280000e-02	0.085
MTG5	5.2800000e-02	0.065
MTG2	5.0400000e-02	0.045
MTG17	4.5600000e-02	0.001
MTG3	4.4800000e-02	-0.006
MTG19	4.3200000e-02	-0.022
MTG7	4.0000000e-02	-0.056
MTG6	3.7600000e-02	-0.082
MTG4	3.4400000e-02	-0.121
MTG18	3.2544000e-02	-0.145
MTG14	2.7920000e-02	-0.212
MTG16	2.7920000e-02	-0.212
MTG13	2.7904000e-02	-0.212
MTG15	2.3920000e-02	-0.279
MTG60	1.6320000e-02	-0.445
MTG61	1.2000000e-02	-0.578
